Epoch [1/20], Loss: 4.8455, Train Accuracy: 8.98%
Epoch [2/20], Loss: 3.4656, Train Accuracy: 33.13%
Epoch [3/20], Loss: 2.4529, Train Accuracy: 52.25%
Epoch [4/20], Loss: 1.7988, Train Accuracy: 65.17%
Epoch [5/20], Loss: 1.3607, Train Accuracy: 73.04%
Epoch [6/20], Loss: 1.0712, Train Accuracy: 78.06%
Epoch [7/20], Loss: 0.8639, Train Accuracy: 82.37%
Epoch [8/20], Loss: 0.7111, Train Accuracy: 85.54%
Epoch [9/20], Loss: 0.5888, Train Accuracy: 87.72%
Epoch [10/20], Loss: 0.4951, Train Accuracy: 89.47%
Epoch [11/20], Loss: 0.4121, Train Accuracy: 91.84%
Epoch [12/20], Loss: 0.3488, Train Accuracy: 92.91%
Epoch [13/20], Loss: 0.2978, Train Accuracy: 94.24%
Epoch [14/20], Loss: 0.2608, Train Accuracy: 94.88%
Epoch [15/20], Loss: 0.2219, Train Accuracy: 95.98%
Epoch [16/20], Loss: 0.1999, Train Accuracy: 96.41%
Epoch [17/20], Loss: 0.1750, Train Accuracy: 96.76%
Epoch [18/20], Loss: 0.1488, Train Accuracy: 97.35%
Epoch [19/20], Loss: 0.1339, Train Accuracy: 97.55%
Epoch [20/20], Loss: 0.1186, Train Accuracy: 97.98%
Finished Training
